acceleration_x,acceleration_y,acceleration_z,activity
-0.277,2.692,12.47,5
-0.909,2.845,10.88,5
0.469,3.86,5.455,5
0.852,1.581,16.85,5
-0.43,5.297,0.59,5
0.622,2.156,14.9,5
-1.522,3.439,9.726,5
-0.335,3.516,7.638,5
-0.124,1.811,15.89,5
-1.197,5.029,1.049,5
0.814,1.581,16.33,5
-2.212,3.956,7.773,5
-0.296,3.228,9.228,5
-0.89,2.27,14.3,5
-0.775,5.124,0.781,5
0.565,1.581,17.16,5
0.565,1.581,17.16,5
0.565,1.581,17.16,5
0.143,2.73,10.74,5
-0.641,4.588,3.539,5
-0.948,4.856,1.509,5
-0.909,2.577,12.93,5
0.067,1.849,15.49,5
0.392,1.83,15.2,5
0.124,3.247,7.543,5
-0.373,4.818,1.93,5
-1.925,4.569,4.899,5
-1.235,2.711,12.66,5
0.411,1.485,17,5
0.66,1.983,12.6,5
-0.277,3.918,5.168,5
-0.833,5.01,1.107,5
-2.078,4.167,7.332,5
-0.641,2.309,14.15,5
0.718,1.715,15.61,5
0.239,3.037,9.152,5
-0.373,4.741,2.792,5
-1.522,4.933,2.371,5
-2.097,3.401,11.07,5
0.162,1.792,16.51,5
0.986,1.811,13.71,5
-0.354,3.726,6.93,5
-1.082,4.78,2.007,5
-1.81,3.362,10.53,5
0.296,1.677,16.1,5
0.871,1.734,13.92,5
-0.181,3.496,7.026,5
-0.411,4.971,1.413,5
-1.618,4.492,5.091,5
-1.273,2.826,12.68,5
0.469,1.753,16.09,5
0.296,2.443,11.78,5
-0.258,4.109,5.014,5
-0.89,4.856,1.758,5
-1.848,3.765,8.711,5
-0.201,2.06,15.11,5
1.043,1.658,15.03,5
0.45,3.228,8.098,5
-0.507,4.856,2.352,5
-1.944,4.703,4.765,5
-1.407,2.826,13.06,5
0.852,1.581,16.12,5
0.488,2.29,12.02,5
-0.373,4.224,5.091,5
-0.565,4.952,1.528,5
-1.733,3.899,8.098,5
-0.201,2.232,14.36,5
0.699,1.868,15.28,5
0.469,3.171,8.481,5
-0.181,4.837,2.716,5
-1.637,4.952,3.616,5
-1.522,3.247,11.34,5
0.45,1.83,15.95,5
0.45,2.29,13.06,5
-0.162,3.956,5.666,5
-0.507,5.086,1.854,5
-1.58,4.186,7.14,5
-0.411,2.5,13.88,5
0.852,1.849,15.59,5
0.775,2.845,10.11,5
0.124,4.607,3.559,5
-0.986,4.952,2.199,5
-1.331,3.401,10.03,5
0.43,1.83,15.68,5
1.216,1.849,14.27,5
0.794,3.362,7.236,5
-0.047,4.895,1.93,5
-1.848,4.607,5.876,5
-0.699,2.768,12.79,5
0.833,1.734,15.7,5
1.024,2.558,10.97,5
0.201,4.263,4.574,5
-0.852,5.105,1.758,5
-1.618,3.745,8.884,5
0.162,2.079,14.94,5
1.177,1.868,14.84,5
0.699,3.439,7.964,5
-0.373,5.067,2.563,5
-1.848,4.818,5.321,5
-1.426,3.113,13.17,5
0.45,1.792,16.26,5
0.66,2.596,11.18,5
-0.258,4.397,4.784,5
-0.794,5.163,1.49,5
-1.465,3.918,8.156,5
-0.009,2.232,13.88,5
1.292,1.907,14.44,5
1.101,3.152,8.5,5
0.526,4.646,2.697,5
-1.197,4.837,3.884,5
-0.047,2.29,14.3,5
0.948,1.715,16.07,5
1.216,2.098,13.42,5
0.373,3.975,6.202,5
-0.852,5.124,2.199,5
-1.618,4.243,7.849,5
-0.086,2.519,13.75,5
1.216,2.06,14.82,5
0.469,3.381,9.209,5
-0.162,4.856,2.467,5
-1.944,4.205,7.562,5
-1.503,3.305,11.28,5
1.082,1.658,15.89,5
0.871,2.136,13.58,5
-0.105,3.956,5.972,5
-0.909,5.144,1.356,5
-1.79,4.224,6.987,5
-0.43,2.443,13.61,5
1.082,1.811,15.78,5
0.335,3.113,9.765,5
0.181,4.684,2.448,5
-1.752,4.416,5.895,5
-1.637,3.477,9.918,5
0.641,1.715,16.41,5
1.446,1.677,15.19,5
0.488,3.496,7.217,5
-0.277,5.048,1.528,5
-1.637,3.726,9.401,5
-0.794,2.711,13.1,5
1.043,1.658,16.74,5
0.622,2.519,12.08,5
0.22,4.339,4.152,5
-0.986,5.105,1.049,5
-1.177,2.903,12.24,5
1.043,1.523,16.43,5
1.331,1.543,16.1,5
0.756,2.883,8.979,5
-0.201,4.703,2.314,5
-1.79,4.837,3.559,5
-1.695,3.094,11.41,5
0.718,1.447,16.24,5
1.388,1.638,13.54,5
0.335,3.42,6.681,5
-0.699,4.703,2.141,5
-1.848,3.994,7.026,5
-0.354,2.232,13.42,5
1.369,1.466,15.72,5
0.679,2.768,10.19,5
-0.067,4.435,3.29,5
-1.235,4.78,2.237,5
-2.001,3.42,9.726,5
0.277,1.734,15.66,5
0.89,2.596,10.45,5
0.565,3.458,6.681,5
-0.641,4.856,1.681,5
-2.02,4.243,6.681,5
-0.565,2.347,13.46,5
0.871,1.562,16.53,5
1.063,2.577,10.24,5
-0.699,4.971,1.49,5
-1.35,4.933,2.333,5
-0.603,2.443,13,5
0.411,1.792,15.51,5
0.756,1.868,15.07,5
0.469,3.458,7.255,5
-0.258,4.875,1.452,5
-1.848,3.573,9.803,5
-0.756,2.558,13.21,5
