acceleration_x,acceleration_y,acceleration_z,activity
1.35,3.017,5.206,2
-2.614,3.994,8.864,2
0.124,1.255,14.02,2
-0.047,4.684,5.397,2
-1.063,4.243,7.658,2
0.565,2.06,12.79,2
-0.45,4.263,8.347,2
-0.488,4.224,8.002,2
0.526,2.079,12.12,2
2.097,4.531,5.302,2
-0.89,4.224,8.845,2
-1.771,2.539,10.97,2
-3.706,4.588,3.041,2
-0.814,5.757,7.696,2
-2.518,0.01,8.998,2
-3.993,-0.314,4.65,2
-3.668,-3.781,3.252,2
-7.594,-6.022,6.164,2
-10.12,-5.869,1.413,2
-10.83,-9.03,3.08,2
-19.01,-6.482,9.286,2
-14.26,-4.873,-3.01,2
-5.717,-8.244,4.67,2
-9.012,-3.226,-0.444,2
-2.844,-3.686,-1.229,2
-4.166,-4.318,0.149,2
-7.249,-12.99,6.853,2
-11.81,-7.421,5.723,2
-11.08,-5.582,2.505,2
-8.399,-5.371,0.341,2
-6.464,-3.705,2.141,2
-4.932,-3.187,1.03,2
-8.858,-1.387,0.417,2
-2.844,-3.283,1.662,2
-9.146,-3.8,-1.497,2
-7.115,-3.973,-1.784,2
-0.89,-8.493,0.417,2
-5.277,-8.742,-1.631,2
-1.331,-3.877,0.13,2
-5.794,-24.14,-6.841,2
4.031,-11.33,3.022,2
-1.273,-5.639,-7.416,2
-3.399,-9.317,1.126,2
-6.081,-14.68,-0.903,2
-1.656,-6.386,-0.424,2
-3.495,-9.336,2.333,2
-6.981,-12.88,-4.677,2
-2.346,-6.501,1.375,2
-2.959,-9.508,1.758,2
-6.349,-14.34,-4.255,2
-1.599,-6.501,1.375,2
-2.633,-9.796,1.241,2
-6.771,-13.78,-3.834,2
-2.039,-6.271,1.241,2
-3.208,-9.891,0.398,2
-6.234,-13.7,-2.78,2
-1.848,-6.348,0.973,2
-2.806,-9.087,0.82,2
-6.445,-13.7,-2.819,2
-1.944,-6.137,1.107,2
-2.863,-9.336,0.839,2
-6.253,-13.57,-2.819,2
-1.867,-6.099,1.011,2
-3.208,-9.374,0.666,2
-6.081,-13.34,-2.666,2
-1.925,-6.674,0.992,2
-3.112,-9.374,0.781,2
-6.273,-13.15,-2.742,2
-2.039,-6.635,1.088,2
-2.94,-9.374,0.839,2
-6.119,-14.1,-2.838,2
-1.925,-6.482,1.011,2
-3.189,-9.413,0.877,2
-6.464,-14.16,-3.049,2
-1.944,-6.405,1.069,2
-3.131,-9.413,0.954,2
-6.502,-14.3,-3.029,2
-1.905,-6.367,1.145,2
-2.672,-8.781,1.413,2
-6.636,-14.2,-3.355,2
-1.848,-6.425,1.298,2
-2.461,-8.8,1.337,2
-6.694,-14.39,-3.278,2
-1.733,-6.386,1.279,2
-2.537,-8.857,1.279,2
-6.675,-14.2,-3.451,2
-1.963,-7.038,0.954,2
-2.901,-8.8,1.145,2
-6.579,-13.99,-3.087,2
-1.905,-7.114,1.049,2
-2.614,-8.895,0.934,2
-6.636,-14.03,-2.78,2
-2.02,-7.114,0.915,2
-2.48,-8.915,1.107,2
-6.138,-13.97,-2.685,2
-2.001,-7.018,0.954,2
-2.825,-8.876,1.145,2
-6.234,-14.01,-2.934,2
-1.867,-6.961,1.049,2
-2.806,-8.972,1.049,2
-6.311,-13.95,-2.685,2
-1.963,-6.999,1.011,2
-2.193,-8.321,1.356,2
-6.1,-13.88,-2.551,2
-1.925,-7.095,1.011,2
-2.154,-8.244,1.471,2
-6.158,-13.95,-2.512,2
-1.944,-7.057,0.934,2
-2.116,-8.148,1.509,2
-6.158,-14.1,-2.455,2
-2.193,-7.899,0.398,2
-2.116,-8.014,1.567,2
-6.177,-14.39,-2.531,2
-2.231,-7.899,0.379,2
-2.078,-8.072,1.643,2
-6.024,-14.1,-2.723,2
-6.656,-13.07,-3.719,2
-3.897,-9.777,-1.593,2
-2.288,-7.976,0.436,2
-1.867,-6.386,1.432,2
-1.79,-5.869,1.624,2
-1.925,-7.229,1.701,2
-2.518,-8.781,1.413,2
-3.419,-10.29,0.82,2
-4.606,-12.17,-0.846,2
-6.234,-14.05,-2.953,2
-6.675,-13.05,-3.278,2
-3.84,-9.815,-1.076,2
-2.212,-7.919,0.628,2
-1.925,-6.329,1.375,2
-1.79,-5.907,1.528,2
-1.867,-7.306,1.586,2
-2.48,-8.819,1.337,2
-3.265,-10.29,0.743,2
-4.395,-12.17,-0.731,2
-6.119,-14.07,-2.704,2
-6.732,-13.13,-3.183,2
-3.955,-9.796,-1.191,2
-2.308,-7.899,0.456,2
-1.925,-6.329,1.318,2
-1.81,-5.888,1.49,2
-1.925,-7.267,1.605,2
-2.499,-8.857,1.413,2
-3.284,-10.29,0.877,2
-4.453,-12.17,-0.616,2
-6.138,-14.05,-2.857,2
-6.56,-13.09,-3.374,2
-3.859,-9.834,-1.229,2
-2.346,-7.976,0.551,2
-1.905,-6.367,1.337,2
-1.81,-5.869,1.547,2
-1.905,-7.229,1.643,2
-2.499,-8.8,1.432,2
-3.323,-10.27,0.877,2
