acceleration_x,acceleration_y,acceleration_z
-0.3521,7.35,7.082
-0.4048,7.456,7.065
-0.6538,7.463,7.027
-0.752,7.547,7.013
-0.9412,7.604,6.629
-1.523,6.577,5.887
-0.4383,7.585,6.268
-0.3664,7.492,6.529
-0.57,7.185,6.457
-0.8287,7.243,6.625
-0.7281,7.415,6.39
-0.6251,7.381,6.505
-0.4215,7.252,6.428
-0.2012,7.154,6.344
-0.3401,7.123,6.27
-0.4,7.003,6.328
-0.4095,7.183,6.397
-0.3305,7.18,6.452
-0.3018,7.18,6.567
-0.2491,7.305,6.675
-0.2323,7.365,6.629
-0.2682,7.331,6.699
-0.2227,7.259,6.761
-0.2084,7.331,6.73
-0.2443,7.276,6.723
-0.2682,7.283,6.622
-0.2347,7.25,6.55
-0.3114,7.324,6.558
-0.364,7.278,6.699
-0.4239,7.262,6.656
-0.5197,7.334,6.732
-0.582,7.372,6.649
-0.57,7.365,6.622
-0.6323,7.384,6.486
-0.6371,7.374,6.541
-0.7137,7.422,6.431
-0.7401,7.355,6.337
-0.6131,7.295,6.325
-0.4311,7.329,6.349
-0.3257,7.288,6.455
-0.2994,7.228,6.541
-0.2563,7.257,6.572
-0.3281,7.283,6.661
-0.297,7.259,6.756
-0.2299,7.324,6.859
-0.2323,7.271,6.888
-0.3161,7.35,6.895
-0.3736,7.358,6.778
-0.4,7.369,6.639
-0.4048,7.379,6.625
-0.4191,7.3,6.591
-0.3856,7.295,6.44
-0.4479,7.264,6.385
-0.5269,7.274,6.32
-0.6107,7.319,6.261
-0.5485,7.271,6.294
-0.5437,7.288,6.268
-0.5652,7.278,6.34
-0.5916,7.274,6.524
-0.5988,7.271,6.68
-0.5197,7.29,6.929
-0.5437,7.238,6.778
-0.5532,7.266,6.73
-0.5652,7.348,6.811
-0.5413,7.379,6.795
-0.5532,7.413,6.73
-0.3832,7.401,6.735
-0.2898,7.319,6.773
-0.1724,7.288,6.742
-0.1102,7.288,6.728
-0.05988,7.161,6.694
-0.01916,7.161,6.785
-0.1389,7.199,6.68
-0.2587,7.255,6.658
-0.4598,7.305,6.694
-0.5245,7.384,6.797
-0.5772,7.401,6.634
-0.5341,7.449,6.445
-0.4814,7.482,6.469
-0.4958,7.499,6.378
-0.4982,7.46,6.258
-0.4598,7.451,6.251
-0.4862,7.381,6.16
-0.5341,7.398,6.277
-0.5317,7.319,6.318
-0.4646,7.319,6.383
-0.4958,7.36,6.366
-0.4407,7.348,6.366
-0.3401,7.331,6.383
-0.2539,7.396,6.524
-0.2395,7.336,6.524
-0.2347,7.298,6.613
-0.2491,7.319,6.732
-0.2994,7.3,6.701
-0.3377,7.283,6.723
-0.309,7.329,6.723
-0.3688,7.427,6.68
-0.3449,7.429,6.706
-0.3808,7.446,6.68
-0.3736,7.432,6.579
-0.4407,7.427,6.582
-0.5365,7.403,6.421
-0.5461,7.324,6.395
-0.5365,7.324,6.464
-0.4886,7.288,6.471
-0.4718,7.302,6.462
-0.5221,7.29,6.452
-0.479,7.302,6.529
-0.4311,7.343,6.514
-0.3808,7.367,6.546
-0.2778,7.372,6.608
-0.285,7.358,6.55
-0.206,7.353,6.505
-0.1677,7.271,6.558
-0.1557,7.295,6.529
-0.1509,7.209,6.591
-0.2611,7.324,6.689
-0.2611,7.334,6.759
-0.388,7.257,6.778
-0.4598,7.266,6.816
-0.4119,7.274,6.787
-0.4072,7.331,6.639
-0.5125,7.403,6.548
-0.5772,7.381,6.447
-0.5389,7.293,6.431
-0.5437,7.307,6.359
-0.5772,7.24,6.356
-0.5125,7.228,6.39
-0.5317,7.255,6.397
-0.479,7.233,6.452
-0.4718,7.276,6.512
-0.4239,7.29,6.675
-0.364,7.286,6.797
-0.2754,7.307,6.974
-0.3161,7.355,6.981
-0.3042,7.369,6.883
-0.3209,7.367,6.946
-0.273,7.381,6.941
-0.2778,7.343,6.838
-0.2946,7.429,6.756
-0.3209,7.348,6.641
-0.3401,7.367,6.57
