acceleration_x,acceleration_y,acceleration_z
-0.9269,1.471,10.16
-1.396,1.267,10.28
-1.904,1.198,10.37
-1.928,0.7928,10.64
-1.823,0.5532,11.09
-2.072,0.6898,10.98
-1.729,1.454,10.72
-1.43,1.26,10.51
-0.6323,0.9556,9.719
-0.7305,1.633,9.108
-1.298,2.412,7.745
-1.995,1.351,8.591
-1.657,0.00479,8.524
-2.024,-0.7832,8.814
-1.638,0.08383,9.511
-2.156,0.855,9.202
-2.124,1.851,9.324
-1.329,1.923,9.496
-1.133,1.657,9.582
-1.154,1.583,9.441
-1.236,1.681,9.365
-1.684,1.55,9.312
-1.926,1.442,9.326
-1.717,1.427,9.525
-1.427,1.284,9.638
-1.114,1.128,9.721
-0.9436,1.154,9.717
-1.013,1.236,9.731
-1.241,1.293,9.714
-1.483,1.25,9.638
-1.48,1.272,9.633
-1.657,1.274,9.568
-1.715,1.353,9.482
-1.808,1.37,9.621
-1.866,1.312,9.647
-1.657,1.281,9.781
-1.533,1.037,9.949
-1.487,0.9101,9.942
-1.289,1.106,9.769
-1.253,1.394,9.616
-1.499,1.681,9.549
-1.607,1.825,9.408
-1.708,1.839,9.307
-1.784,1.758,9.197
-1.279,2.076,8.672
-1.54,1.597,9.494
-1.418,0.9867,9.733
-1.547,0.6874,9.851
-1.454,0.7664,9.906
-1.432,1.049,9.803
-1.593,1.317,9.523
-1.506,1.674,9.427
-1.59,1.777,9.484
-1.468,1.71,9.377
-1.403,1.578,9.456
-1.408,1.339,9.475
-1.473,1.255,9.549
-1.605,1.123,9.63
-1.631,1.128,9.666
-1.588,1.063,9.662
-1.609,1.152,9.63
-1.619,1.142,9.594
-1.724,1.209,9.544
-1.665,1.332,9.554
-1.679,1.358,9.463
-1.578,1.447,9.487
-1.538,1.315,9.494
-1.49,1.26,9.58
-1.514,1.202,9.594
-1.564,1.176,9.599
-1.557,1.138,9.554
-1.533,1.154,9.549
-1.588,1.095,9.547
-1.53,1.09,9.527
-1.55,1.138,9.542
-1.559,1.198,9.494
-1.506,1.334,9.489
-1.542,1.384,9.427
-1.528,1.423,9.405
-1.468,1.356,9.468
-1.59,1.157,9.515
-1.562,1.083,9.628
-1.557,0.9412,9.673
-1.576,0.958,9.681
-1.609,1.03,9.697
-1.554,1.109,9.669
-1.655,1.212,9.645
-1.66,1.248,9.561
-1.645,1.224,9.559
-1.607,1.284,9.487
-1.665,1.277,9.448
-1.641,1.236,9.468
-1.607,1.159,9.491
-1.557,1.047,9.487
-1.53,1.004,9.489
-1.617,1.004,9.532
-2.512,0.6802,9.314
-1.483,1.31,9.482
-1.236,1.262,9.611
-1.559,0.9436,9.508
-1.66,0.9556,9.41
-1.576,1.109,9.465
-1.605,1.133,9.503
-1.672,1.154,9.513
-1.569,1.142,9.544
-1.518,1.095,9.559
-1.55,1.047,9.594
-1.564,1.015,9.671
-1.626,0.8598,9.621
-1.621,0.8862,9.702
-1.593,0.9197,9.69
-1.562,0.9532,9.729
-1.612,1.001,9.69
-1.607,1.025,9.707
-1.538,1.123,9.791
-1.581,1.104,9.781
-1.595,1.02,9.788
-1.595,1.114,9.7
-1.533,1.212,9.669
-1.461,1.181,9.736
-1.569,1.073,9.647
-1.401,1.116,9.791
-1.36,0.9245,9.76
-1.415,0.9125,9.848
-1.401,0.9245,9.841
-1.483,0.9436,9.748
-1.415,1.032,9.609
-1.583,0.9724,9.551
-1.509,1.023,9.444
-1.444,0.9963,9.499
-1.578,0.9508,9.465
-1.502,0.9341,9.53
-1.459,0.958,9.527
-1.535,0.9245,9.472
-1.554,0.9317,9.458
-1.624,0.8957,9.35
-1.518,1.006,9.341
-1.617,0.9197,9.278
-1.724,0.9053,9.257
-1.717,0.8862,9.204
-1.729,0.946,9.171
-1.945,0.9077,9.044
-1.993,1.032,8.914
-1.971,1.126,8.785
-2.12,1.071,8.627
-2.141,1.097,8.55
