gyro_x,gyro_y,gyro_z
0.4323,0.1396,0.0547
0.1928,-0.0388,-0.01005
0.2075,-0.01925,0.06814
-0.2482,0.005185,0.09135
-0.0503,0.05039,0.1586
-0.02586,0.06261,0.1928
-0.2323,0.0736,0.2147
-0.2641,0.1151,0.2709
-0.302,0.1713,0.3736
-0.4498,0.2459,0.5019
-0.4241,0.2862,0.5972
-0.3215,0.3497,0.6912
-0.5683,0.3986,0.767
-0.4474,0.4267,0.8427
-0.4205,0.4621,0.9172
-0.4107,0.4462,0.9686
-0.3435,0.4682,0.9918
-0.3948,0.4853,0.9771
-0.214,0.445,0.9356
-0.1688,0.4768,0.9197
-0.4681,0.4426,0.8794
-0.4632,0.3925,0.8672
-0.506,0.3754,0.8696
-0.4559,0.2996,0.8268
-0.1737,0.2789,0.8036
-0.3887,0.2129,0.7059
-0.5256,0.1677,0.5556
-0.4229,0.1457,0.4298
-0.3044,0.1188,0.3467
-0.3582,0.09315,0.249
-0.2836,0.08948,0.1414
-0.0955,0.1103,0.06203
-0.06862,0.1347,0.04615
0.005902,0.09437,0.04615
0.1134,0.05528,0.08036
0.004681,0.006406,0.1085
0.05477,-0.004589,0.1524
0.01079,0.03695,0.2074
-0.1688,0.1322,0.2734
-0.1053,0.186,0.321
0.05599,0.2459,0.3699
-0.6538,0.2202,0.6081
-1.388,0.2092,0.7486
-1.21,0.4707,0.8953
-1.722,0.8103,1.13
-3.485,1.202,1.397
-5.582,1.448,1.809
-6.875,1.548,2.347
-6.45,1.512,3.052
0.2796,1.439,3.64
1.768,1.246,2.999
2.14,0.9899,1.925
1.098,0.5146,0.9038
-0.3997,-0.1304,0.05837
-0.6379,-0.6607,-0.6099
-0.02342,-1.08,-1.287
0.3431,-1.407,-1.888
0.497,-1.662,-2.359
0.5899,-1.89,-2.648
0.4494,-2.019,-2.929
-0.08939,-2.019,-3.273
-0.6502,-1.741,-3.233
-0.5536,-1.251,-2.676
-0.4742,-0.7034,-1.553
-0.5146,-0.1219,-0.2752
0.2955,0.5012,0.9759
0.7072,1.085,2.066
0.574,1.543,2.768
0.5031,1.948,3.215
0.6522,2.212,3.449
0.6901,2.279,3.375
1.006,2.138,2.863
0.8672,1.899,1.929
0.002237,1.353,0.9539
-0.8346,0.6845,0.2771
-0.4645,0.06383,-0.2862
0.1427,-0.5629,-0.8286
0.2722,-1.201,-1.387
-0.0503,-1.659,-1.914
-0.3276,-1.974,-2.368
-0.5207,-2.148,-2.702
-0.8689,-2.116,-2.957
-0.9202,-1.881,-3.257
-0.6367,-1.606,-3.437
-0.3912,-1.285,-3.072
1.009,-0.927,-2.224
2.162,-0.4933,-1.154
0.976,0.2068,0.01316
-0.3496,0.9594,1.208
-0.9287,1.545,2.278
0.02545,1.962,3.048
1.762,2.362,3.474
3.814,2.932,3.572
4.073,3.259,3.092
3.164,3.196,2.37
1.237,2.666,1.504
-0.4022,1.907,0.7377
-0.7833,1.122,0.1805
-0.1053,0.3167,-0.1591
0.3651,-0.4737,-0.3766
0.04255,-1.22,-0.5867
-0.7601,-1.89,-0.9068
-1.406,-2.388,-1.363
-1.565,-2.659,-1.845
-1.367,-2.751,-2.215
-0.82,-2.719,-2.438
-1.187,-2.6,-2.639
-1.542,-2.253,-2.581
-1.133,-1.642,-2.004
-0.4156,-1.042,-1.155
-0.00265,-0.3919,-0.1053
0.3541,0.3021,0.8757
0.5312,0.9459,1.694
0.4164,1.529,2.337
-0.08939,1.983,2.694
0.09998,2.231,2.917
0.4103,2.318,2.976
0.3602,2.125,2.795
0.337,1.823,2.336
-0.9849,1.35,1.665
-1.642,0.7932,1.014
-1.535,0.252,0.4066
-1.573,-0.2648,-0.1933
-1.193,-0.6814,-0.7724
-0.9507,-0.9783,-1.367
-1.028,-1.11,-1.942
-0.6331,-1.096,-2.452
-0.02708,-1.011,-2.819
0.6314,-0.905,-3.062
1.016,-0.8598,-3.185
0.9967,-0.8219,-3.138
0.5606,-0.7193,-2.725
0.2625,-0.4175,-1.848
-0.1676,-0.1097,-0.4731
-0.1957,0.263,0.8122
-0.1615,0.6942,1.945
-0.1041,1.209,2.813
0.205,1.772,3.359
0.5435,2.243,3.512
1.198,2.267,3.375
2.057,2.047,2.884
1.937,1.756,1.997
0.9808,1.256,1.049
-0.3227,0.5733,0.3015
-0.4913,-0.1023,-0.23
-0.2946,-0.7303,-0.7162
-0.1664,-1.281,-1.244
0.1892,-1.735,-1.727
0.7976,-2.104,-2.129
1.62,-2.459,-2.395
2.377,-3.009,-2.607
2.663,-3.176,-2.727
3.455,-3.38,-2.672
3.482,-3.373,-2.247
3,-3.014,-1.696
2.04,-2.381,-1.172
0.8526,-1.363,-0.6515
0.1171,-0.2013,-0.09679
-0.6502,0.9374,0.4591
-0.831,2.022,1.015
-0.9397,2.996,1.411
-0.8872,3.786,1.768
-0.181,4.456,2.044
0.9515,4.425,1.924
2.652,4.119,1.572
1.807,3.421,0.9637
-0.2788,2.518,0.2551
-1.078,1.549,-0.2287
-0.6538,0.6649,-0.412
-0.2934,-0.1341,-0.3827
-0.269,-0.9722,-0.4694
-0.2433,-1.802,-0.6747
-0.1358,-2.59,-0.9202
0.1256,-3.263,-1.138
0.4775,-3.659,-1.217
0.7854,-3.934,-1.201
0.7096,-3.974,-1.066
0.5936,-3.682,-0.8298
0.3907,-3.122,-0.5757
0.1574,-2.309,-0.3619
0.01445,-1.355,-0.1444
-0.06618,-0.2697,0.1121
-0.1163,0.7956,0.354
-0.2751,1.735,0.6436
-0.3606,2.636,1.003
-0.4975,3.331,1.395
-0.7528,3.806,1.691
-1.367,3.944,1.835
-1.729,3.862,1.831
-3,3.562,1.557
-2.38,2.761,1.542
-1.713,2.28,1.235
-0.9202,1.143,0.6827
0.3162,0.241,0.1231
0.8208,-0.8696,-0.7907
1.364,-1.834,-1.33
1.654,-2.785,-1.766
1.702,-3.366,-1.95
2.063,-3.759,-1.899
2.021,-3.899,-1.81
1.721,-3.719,-1.647
1.339,-3.33,-1.476
1.108,-2.755,-1.266
0.943,-2.072,-0.985
0.6595,-1.284,-0.6392
0.2918,-0.3516,-0.2605
-0.2055,0.6515,0.1207
-0.5158,1.64,0.5263
-0.82,2.616,0.9197
-1.226,3.439,1.367
-1.408,4.083,1.786
-1.845,4.361,2.005
-1.913,4.555,2.007
-2.66,4.198,1.92
-1.882,3.286,2.159
-1.582,2.531,1.842
-0.8078,1.538,1.061
0.08043,0.6136,0.1769
