@relation ACCELEROMETER_MACHINE_Merge

@attribute acceleration_x numeric
@attribute acceleration_y numeric
@attribute acceleration_z numeric
@attribute activity {1,2,3,4,5,6,7}

@data
0.047,0.872,11.3,1
1.235,0.451,9.496,1
0.105,2.041,8.022,1
-0.641,1.638,8.979,1
-2.116,2.711,10.07,1
-0.814,2.098,6.432,1
-3.284,1.409,5.742,1
-2.767,-1.636,5.781,1
-5.353,-3.053,4.229,1
-8.705,-5.007,2.352,1
-11.27,-5.199,1.413,1
-16.04,-5.467,1.892,1
-17.82,-3.322,1.03,1
-17.13,-1.981,3.597,1
-9.701,-3.992,-3.259,1
-9.031,-5.237,0.934,1
-6.464,-3.092,3.559,1
-6.675,-0.678,-0.616,1
-8.341,-1.023,-0.329,1
-9.395,-0.314,-0.808,1
-12.82,0.298,4.421,1
-10.35,-1.349,0.245,1
-10.37,-1.636,-1.114,1
-10.89,-1.521,-0.52,1
-10.54,-1.157,-0.501,1
-9.088,-1.942,-1.44,1
-10.91,-2.038,-0.578,1
-2.442,-5.448,-2.551,1
-4.166,-5.333,-1.746,1
-17.34,-1.942,0.609,1
-11.37,-4.854,-1.765,1
-8.82,-5.658,-0.961,1
-7.632,-4.854,-1.516,1
-6.541,-5.927,-2.417,1
-9.05,-3.647,-0.942,1
-8.322,-5.467,0.034,1
-7.977,-9.221,0.494,1
-8.705,-8.072,-3.642,1
-9.28,-3.207,-2.34,1
-4.223,-10.24,0.513,1
-11.5,-5.639,6.125,1
-11.5,-5.639,6.125,1
-11.5,-5.639,6.125,1
-7.977,-8.455,-1.593,1
-6.751,-7.095,-0.195,1
-7.058,-4.433,-0.75,1
-7.479,-4.049,-0.673,1
-5.43,-4.413,-0.022,1
-5.257,-4.758,1.011,1
-7.518,-4.433,-1.325,1
-8.073,-5.084,-0.999,1
-6.636,-4.835,0.111,1
-8.456,-5.735,-1.631,1
-10.68,-6.31,-1.114,1
-11.02,-6.329,-1.497,1
-10.43,-6.176,-0.424,1
-14.16,-7.21,2.084,1
-8.284,-6.903,-3.987,1
-7.096,-6.061,-2.8,1
-4.951,-5.007,-2.378,1
-5.353,-7.095,1.203,1
-3.208,-7.459,3.003,1
-7.537,-3.973,-1.746,1
-12.77,-1.272,-3.202,1
-10.98,-5.065,-0.233,1
-8.763,-8.321,-1.919,1
-9.376,-9.106,-1.612,1
-11.81,-6.578,0.111,1
-12.21,-6.367,-0.252,1
-10.39,-6.233,0.015,1
-5.621,-5.946,-1.478,1
-5.372,-4.643,-1.612,1
-7.786,-3.494,0.896,1
-8.629,-3.264,0.973,1
-6.273,0.01,-20.02,1
-12.65,-7.076,19.4,1
-3.265,-2.651,3.616,1
-4.798,-0.448,-2.8,1
-4.127,-3.341,-1.727,1
-6.694,-5.601,1.03,1
-3.974,-5.658,-3.355,1
-8.724,-2.881,3.041,1
-15.49,-5.831,23.81,1
-17.11,-9.834,-6.458,1
-4.798,-5.141,-0.635,1
-5.468,-11,-4.543,1
-8.839,-8.436,1.145,1
-9.739,-7.842,1.069,1
-9.012,-6.789,-1.401,1
-9.222,-8.263,-0.061,1
-6.617,-8.455,-0.999,1
-6.56,-6.597,-0.214,1
-8.743,-6.061,0.398,1
-7.805,-8.072,-1.746,1
-6.081,-8.781,1.318,1
-3.208,-5.237,1.279,1
-2.863,-5.946,0.647,1
-1.254,-5.831,0.551,1
-5.813,-5.716,-0.673,1
-6.464,-7.497,1.107,1
-6.656,-7.765,0.302,1
-8.111,-7.631,1.26,1
-15.75,-4.011,2.409,1
-6.694,-11.81,2.697,1
-8.226,-12.65,-1.325,1
-9.241,-6.616,-3.872,1
-8.705,-4.279,-2.436,1
-5.717,-2.881,-0.578,1
-1.848,-5.16,-0.405,1
-1.733,-5.543,-0.271,1
-2.25,-6.195,-0.08,1
-4.664,-5.16,-0.539,1
-4.529,-7.67,-0.942,1
-4.395,-10.27,-1.363,1
-5.047,-5.62,-0.712,1
-3.438,-6.808,0.245,1
-2.403,-7.267,0.379,1
-1.695,-7.191,0.59,1
-1.522,-5.984,1.03,1
-4.721,-9.508,-1.325,1
-10.41,-24.81,-2.761,1
-11.21,-26.19,0.13,1
1.618,-18.32,-0.539,1
2.269,-9.681,0.36,1
0.871,-5.199,4.976,1
-2.059,-7.708,2.007,1
-4.932,-9.777,-2.646,1
-5.966,-11.52,-5.73,1
-3.591,-12.07,-3.374,1
-3.399,-10.64,-0.444,1
-3.668,-8.8,0.915,1
-2.825,-8.206,1.107,1
-3.744,-8.321,0.628,1
-4.415,-8.704,0.283,1
-4.759,-9.01,0.532,1
-4.683,-9.03,0.781,1
-5.104,-8.819,0.724,1
-5.315,-9.298,0.092,1
-6.196,-10.18,-0.348,1
-6.866,-10.73,-0.099,1
-6.004,-9.451,0.092,1
-4.683,-8.283,0.226,1
-3.648,-7.574,0.532,1
-3.572,-7.363,1.088,1
-4.031,-8.129,1.145,1
-4.376,-8.589,0.494,1
-4.817,-8.895,-0.52,1
-5.2,-8.781,-0.673,1
-5.162,-8.819,-0.29,1
-5.142,-9.317,-0.041,1
-5.717,-10.27,0.073,1
-6.445,-10.75,-0.099,1
-6.138,-9.604,-0.099,1
-4.989,-8.359,0.283,1
-3.821,-7.516,0.705,1
-3.514,-7.133,1.164,1
-3.878,-8.014,1.26,1
-4.261,-8.781,0.494,1
-4.625,-9.164,-0.712,1
-4.97,-9.087,-0.98,1
-4.913,-9.202,-0.156,1
-4.989,-9.451,0.015,1
-5.487,-10.18,-0.041,1
-6.407,-10.75,-0.175,1
-6.158,-9.777,-0.195,1
-5.047,-8.551,0.456,1
-3.993,-7.65,0.781,1
-3.457,-7.229,1.107,1
-3.897,-8.321,0.973,1
-4.146,-8.627,0.628,1
-4.644,-9.068,-0.137,1
-5.028,-9.087,-0.559,1
-5.008,-8.895,-0.501,1
-5.066,-9.336,-0.233,1
-5.813,-10.43,-0.061,1
-6.292,-10.72,-0.003,1
-6.502,-10.05,0.015,1
-5.162,-8.704,0.456,1
-4.031,-7.689,0.762,1
-3.304,-7.248,0.934,1
-3.61,-8.283,1.011,1
-3.821,-8.666,0.762,1
-4.702,-9.336,-0.482,1
-5.123,-9.01,-0.654,1
-5.162,-8.838,-0.52,1
-5.219,-9.24,-0.156,1
-5.468,-9.815,0.015,1
-6.119,-10.56,0.053,1
-6.579,-10.26,0.187,1
-4.664,-8.321,0.398,1
-3.668,-7.536,0.609,1
-3.342,-7.401,0.666,1
-3.227,-7.899,0.839,1
-4.146,-8.761,0.283,1
-4.893,-9.144,-0.424,1
-5.353,-8.895,-0.539,1
-5.353,-8.742,-0.329,1
-5.334,-9.317,0.111,1
-5.583,-10.06,0.053,1
-6.234,-10.79,0.015,1
-6.138,-9.738,-0.003,1
-4.836,-8.627,0.475,1
-3.802,-7.708,0.724,1
-3.284,-7.306,0.896,1
-3.361,-8.014,0.915,1
-3.955,-8.685,0.379,1
-4.606,-9.106,-0.424,1
-5.181,-9.144,-0.616,1
-5.257,-8.934,-0.424,1
-5.238,-9.317,-0.061,1
-5.43,-10.03,-0.003,1
-6.062,-10.73,0.015,1
-6.292,-9.949,0.034,1
-3.265,-7.306,0.781,1
-5.028,-9.279,-0.731,1
-5.2,-9.528,0.13,1
-5.257,-8.972,0.475,1
-3.495,-8.244,0.82,1
-5.257,-9.01,-0.75,1
-5.775,-10.41,0.111,1
-3.821,-7.65,0.59,1
-4.089,-8.761,0.456,1
-5.123,-8.972,-0.329,1
-6.483,-10.81,0.207,1
-3.17,-7.229,0.647,1
-4.989,-9.374,-0.616,1
-5.162,-9.47,0.245,1
-5.238,-8.934,0.092,1
-3.725,-8.244,1.069,1
-5.2,-8.915,-0.865,1
-5.755,-10.37,0.149,1
-3.84,-7.708,0.475,1
-4.108,-8.723,0.245,1
-5.219,-8.934,-0.003,1
-6.598,-10.83,0.13,1
-3.131,-7.306,0.839,1
-4.893,-9.221,-0.788,1
-5.2,-9.374,0.053,1
