@relation Accelerometer_Merge_Log

@attribute acceleration_x numeric
@attribute acceleration_y numeric
@attribute acceleration_z numeric
@attribute activity {0,1}

@data
-0.9269,1.471,10.16,0
-1.396,1.267,10.28,0
-1.904,1.198,10.37,0
-1.928,0.7928,10.64,0
-1.823,0.5532,11.09,0
-2.072,0.6898,10.98,0
-1.729,1.454,10.72,0
-1.43,1.26,10.51,0
-0.6323,0.9556,9.719,0
-0.7305,1.633,9.108,0
-1.298,2.412,7.745,0
-1.995,1.351,8.591,0
-1.657,0.00479,8.524,0
-2.024,-0.7832,8.814,0
-1.638,0.08383,9.511,0
-2.156,0.855,9.202,0
-2.124,1.851,9.324,0
-1.329,1.923,9.496,0
-1.133,1.657,9.582,0
-1.154,1.583,9.441,0
-1.236,1.681,9.365,0
-1.684,1.55,9.312,0
-1.926,1.442,9.326,0
-1.717,1.427,9.525,0
-1.427,1.284,9.638,0
-1.114,1.128,9.721,0
-0.9436,1.154,9.717,0
-1.013,1.236,9.731,0
-1.241,1.293,9.714,0
-1.483,1.25,9.638,0
-1.48,1.272,9.633,0
-1.657,1.274,9.568,0
-1.715,1.353,9.482,0
-1.808,1.37,9.621,0
-1.866,1.312,9.647,0
-1.657,1.281,9.781,0
-1.533,1.037,9.949,0
-1.487,0.9101,9.942,0
-1.289,1.106,9.769,0
-1.253,1.394,9.616,0
-1.499,1.681,9.549,0
-1.607,1.825,9.408,0
-1.708,1.839,9.307,0
-1.784,1.758,9.197,0
-1.279,2.076,8.672,0
-1.54,1.597,9.494,0
-1.418,0.9867,9.733,0
-1.547,0.6874,9.851,0
-1.454,0.7664,9.906,0
-1.432,1.049,9.803,0
-1.593,1.317,9.523,0
-1.506,1.674,9.427,0
-1.59,1.777,9.484,0
-1.468,1.71,9.377,0
-1.403,1.578,9.456,0
-1.408,1.339,9.475,0
-1.473,1.255,9.549,0
-1.605,1.123,9.63,0
-1.631,1.128,9.666,0
-1.588,1.063,9.662,0
-1.609,1.152,9.63,0
-1.619,1.142,9.594,0
-1.724,1.209,9.544,0
-1.665,1.332,9.554,0
-1.679,1.358,9.463,0
-1.578,1.447,9.487,0
-1.538,1.315,9.494,0
-1.49,1.26,9.58,0
-1.514,1.202,9.594,0
-1.564,1.176,9.599,0
-1.557,1.138,9.554,0
-1.533,1.154,9.549,0
-1.588,1.095,9.547,0
-1.53,1.09,9.527,0
-1.55,1.138,9.542,0
-1.559,1.198,9.494,0
-1.506,1.334,9.489,0
-1.542,1.384,9.427,0
-1.528,1.423,9.405,0
-1.468,1.356,9.468,0
-1.59,1.157,9.515,0
-1.562,1.083,9.628,0
-1.557,0.9412,9.673,0
-1.576,0.958,9.681,0
-1.609,1.03,9.697,0
-1.554,1.109,9.669,0
-1.655,1.212,9.645,0
-1.66,1.248,9.561,0
-1.645,1.224,9.559,0
-1.607,1.284,9.487,0
-1.665,1.277,9.448,0
-1.641,1.236,9.468,0
-1.607,1.159,9.491,0
-1.557,1.047,9.487,0
-1.53,1.004,9.489,0
-1.617,1.004,9.532,0
-2.512,0.6802,9.314,0
-1.483,1.31,9.482,0
-1.236,1.262,9.611,0
-1.559,0.9436,9.508,0
-1.66,0.9556,9.41,0
-1.576,1.109,9.465,0
-1.605,1.133,9.503,0
-1.672,1.154,9.513,0
-1.569,1.142,9.544,0
-1.518,1.095,9.559,0
-1.55,1.047,9.594,0
-1.564,1.015,9.671,0
-1.626,0.8598,9.621,0
-1.621,0.8862,9.702,0
-1.593,0.9197,9.69,0
-1.562,0.9532,9.729,0
-1.612,1.001,9.69,0
-1.607,1.025,9.707,0
-1.538,1.123,9.791,0
-1.581,1.104,9.781,0
-1.595,1.02,9.788,0
-1.595,1.114,9.7,0
-1.533,1.212,9.669,0
-1.461,1.181,9.736,0
-1.569,1.073,9.647,0
-1.401,1.116,9.791,0
-1.36,0.9245,9.76,0
-1.415,0.9125,9.848,0
-1.401,0.9245,9.841,0
-1.483,0.9436,9.748,0
-1.415,1.032,9.609,0
-1.583,0.9724,9.551,0
-1.509,1.023,9.444,0
-1.444,0.9963,9.499,0
-1.578,0.9508,9.465,0
-1.502,0.9341,9.53,0
-1.459,0.958,9.527,0
-1.535,0.9245,9.472,0
-1.554,0.9317,9.458,0
-1.624,0.8957,9.35,0
-1.518,1.006,9.341,0
-1.617,0.9197,9.278,0
-1.724,0.9053,9.257,0
-1.717,0.8862,9.204,0
-1.729,0.946,9.171,0
-1.945,0.9077,9.044,0
-1.993,1.032,8.914,0
-1.971,1.126,8.785,0
-2.12,1.071,8.627,0
-2.141,1.097,8.55,0
-2.378,0.9388,8.548,0
-2.182,0.5389,8.208,0
-2.862,0.1006,7.896,0
-3.2,0.5796,7.542,0
-2.316,0.6107,7.247,0
