acceleration_x,acceleration_y,acceleration_z,activity
-1.54,2.872,8.751,2.0
-1.677,3.099,8.723,2.0
-1.818,2.843,8.986,2.0
-1.835,2.292,9.216,2.0
-1.973,1.842,9.482,2.0
-2.014,1.76,9.568,2.0
-1.849,2.017,9.618,2.0
-1.818,2.474,9.532,2.0
-1.899,2.802,9.379,2.0
-1.882,2.888,9.333,2.0
-1.842,2.742,9.302,2.0
-1.894,2.563,9.338,2.0
-1.954,2.347,9.331,2.0
-1.983,2.29,9.319,2.0
-1.904,2.376,9.324,2.0
-1.811,2.491,9.374,2.0
-1.801,2.524,9.441,2.0
-1.866,2.46,9.477,2.0
-1.851,2.429,9.496,2.0
-1.978,2.488,9.379,2.0
-2.031,2.51,9.297,2.0
-2.002,2.481,9.307,2.0
-1.935,2.481,9.264,2.0
-1.88,2.457,9.302,2.0
-1.878,2.412,9.36,2.0
-1.911,2.364,9.381,2.0
-1.882,2.383,9.391,2.0
-1.847,2.402,9.381,2.0
-1.803,2.431,9.36,2.0
-1.866,2.407,9.35,2.0
-1.851,2.402,9.439,2.0
-1.866,2.342,9.439,2.0
-2.005,2.33,9.396,2.0
-1.947,2.361,9.369,2.0
-1.933,2.433,9.305,2.0
-1.897,2.402,9.353,2.0
-1.873,2.378,9.405,2.0
-1.859,2.354,9.41,2.0
-1.851,2.421,9.398,2.0
-1.887,2.476,9.388,2.0
-1.854,2.443,9.372,2.0
-1.839,2.453,9.341,2.0
-1.851,2.402,9.317,2.0
-1.856,2.378,9.343,2.0
-1.911,2.476,9.321,2.0
-1.854,2.589,9.341,2.0
-1.866,2.546,9.353,2.0
-1.899,2.56,9.367,2.0
-1.88,2.579,9.309,2.0
-1.892,2.541,9.36,2.0
-1.851,2.467,9.333,2.0
-1.849,2.419,9.35,2.0
-1.849,2.455,9.403,2.0
-1.875,2.436,9.396,2.0
-1.835,2.407,9.427,2.0
-1.839,2.417,9.439,2.0
-1.844,2.417,9.441,2.0
-1.873,2.488,9.422,2.0
-1.854,2.527,9.475,2.0
-1.847,2.481,9.41,2.0
-1.887,2.414,9.422,2.0
-1.849,2.417,9.4,2.0
-1.851,2.393,9.432,2.0
-1.839,2.373,9.436,2.0
-1.815,2.39,9.41,2.0
-1.818,2.39,9.408,2.0
-1.844,2.417,9.377,2.0
-1.806,2.409,9.312,2.0
-1.847,2.405,9.293,2.0
-1.746,2.402,9.293,2.0
-1.799,2.395,9.338,2.0
-1.777,2.376,9.293,2.0
-1.756,2.364,9.321,2.0
-1.835,2.273,9.422,2.0
-1.815,2.29,9.391,2.0
-1.842,2.306,9.422,2.0
-1.775,2.407,9.458,2.0
-1.765,2.503,9.412,2.0
-1.835,2.565,9.424,2.0
-1.849,2.505,9.458,2.0
-1.835,2.414,9.477,2.0
-1.825,2.311,9.525,2.0
-1.823,2.321,9.549,2.0
-1.849,2.275,9.499,2.0
-1.847,2.318,9.472,2.0
-1.839,2.412,9.482,2.0
-1.83,2.409,9.458,2.0
-1.777,2.395,9.386,2.0
-1.863,2.385,9.393,2.0
-1.844,2.421,9.424,2.0
-1.849,2.52,9.362,2.0
-1.856,2.546,9.367,2.0
-1.832,2.472,9.384,2.0
-1.813,2.383,9.4,2.0
-1.76,2.302,9.384,2.0
-1.787,2.213,9.403,2.0
-1.83,2.175,9.369,2.0
-1.806,2.256,9.372,2.0
-1.866,2.385,9.412,2.0
-1.875,2.498,9.415,2.0
-1.83,2.618,9.4,2.0
-1.839,2.52,9.398,2.0
-1.815,2.419,9.329,2.0
-1.827,2.318,9.353,2.0
-1.784,2.242,9.4,2.0
-1.765,2.254,9.434,2.0
-1.72,2.328,9.377,2.0
-1.779,2.321,9.367,2.0
-1.741,2.397,9.412,2.0
-1.734,2.383,9.381,2.0
-1.693,2.414,9.417,2.0
-1.703,2.424,9.353,2.0
-1.744,2.45,9.434,2.0
-1.801,2.5,9.355,2.0
-1.825,2.46,9.362,2.0
-1.851,2.457,9.386,2.0
-1.844,2.361,9.432,2.0
-1.82,2.388,9.384,2.0
-1.779,2.311,9.456,2.0
-1.787,2.297,9.429,2.0
-1.827,2.328,9.434,2.0
-1.832,2.405,9.448,2.0
-1.854,2.438,9.369,2.0
-1.818,2.496,9.357,2.0
-1.803,2.462,9.384,2.0
-1.765,2.431,9.398,2.0
-1.808,2.51,9.41,2.0
-1.796,2.491,9.381,2.0
-1.82,2.555,9.42,2.0
-1.854,2.508,9.412,2.0
-1.89,2.381,9.396,2.0
-1.882,2.383,9.465,2.0
-1.916,2.381,9.367,2.0
-1.902,2.347,9.403,2.0
-1.894,2.39,9.453,2.0
-1.868,2.405,9.412,2.0
-1.854,2.421,9.458,2.0
-1.832,2.417,9.405,2.0
-1.856,2.46,9.374,2.0
-1.871,2.496,9.317,2.0
-1.868,2.409,9.377,2.0
-1.885,2.405,9.369,2.0
-1.875,2.4,9.367,2.0
-1.827,2.361,9.367,2.0
-1.782,2.429,9.355,2.0
-1.82,2.429,9.35,2.0
-1.83,2.429,9.319,2.0
-1.779,2.464,9.329,2.0
-1.82,2.419,9.326,2.0
-1.796,2.412,9.379,2.0
-1.784,2.338,9.341,2.0
-1.801,2.366,9.458,2.0
-1.751,2.443,9.405,2.0
-1.813,2.438,9.405,2.0
-1.851,2.39,9.415,2.0
-1.818,2.424,9.42,2.0
-1.777,2.359,9.468,2.0
-1.736,2.342,9.475,2.0
-1.715,2.366,9.448,2.0
-1.717,2.424,9.424,2.0
-1.765,2.505,9.393,2.0
-1.799,2.505,9.396,2.0
-1.756,2.52,9.403,2.0
