acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
-0.05269,-0.002395,9.879,0.7964,0.1371,0.2575,1
-4.11,-5.722,-3.389,0.07554,0.1628,0.01316,1
-4.313,-9.412,-0.1317,-0.3081,0.09315,-0.06258,1
-0.01677,0.02874,9.884,-0.1725,0.0284,-0.06136,1
-0.04311,0.03114,9.879,0.06821,0.01374,-0.02837,1
-0.0958,0.02156,9.872,0.06332,0.02229,-0.008827,1
-0.06706,0.0479,9.932,-0.02342,0.05283,0.02294,1
-1.806,7.528,6.11,-0.04541,0.08582,0.0547,1
-0.05988,-0.007185,9.867,-0.1798,0.1396,0.1024,1
-4.244,-8.814,-4.292,-0.3264,0.2239,0.2416,1
-0.06467,0.06706,9.863,-0.4694,0.2972,0.3956,1
-4.486,2.56,5.295,-0.583,0.3876,0.6143,1
-0.04311,0.03832,9.918,-0.9556,0.4743,0.8183,1
-0.03353,0.05748,9.841,-1.147,0.5794,1.116,1
-0.03114,0.03353,9.867,-1.167,0.5916,1.391,1
-0.05988,0.03593,9.875,-1.36,0.7126,1.556,1
-7.444,0.6538,6.179,-1.529,0.7065,1.626,1
-0.0479,-0.00479,9.858,-0.9214,0.6845,1.692,1
-0.02395,0.00958,9.894,-1.179,0.6283,1.726,1
-7.841,0.4551,6.572,-1.697,0.5537,1.559,1
-0.06946,0.007185,9.891,-1.548,0.5537,1.394,1
-0.08143,0.03114,9.891,-1.433,0.5244,1.329,1
-0.06227,0.02874,9.82,-1.466,0.4389,1.357,1
-6.792,-2.232,7.745,-1.405,0.3424,1.428,1
-0.1054,0.01916,9.786,-1.287,0.2508,1.418,1
-5.753,1.806,7.904,-1.307,0.175,1.267,1
-0.05269,0.04072,9.827,-1.211,0.1066,1.066,1
-0.04072,0.01677,9.889,-0.958,0.109,0.8134,1
-0.06946,0.01437,9.832,-0.7577,0.1555,0.541,1
-6.304,6.275,5.444,-0.4828,0.2031,0.2844,1
-0.07425,0.03353,9.877,-0.3887,0.2043,0.06448,1
-0.07425,0.01198,9.865,-0.3325,0.175,-0.08702,1
-0.05988,0.04551,9.882,-0.09061,0.1555,-0.1628,1
-0.04551,0.06227,9.92,-0.02953,0.1127,-0.1848,1
-0.07904,0.01198,9.882,-0.01853,0.06261,-0.208,1
-4.67,-9.245,-1.025,0.01568,0.0284,-0.2092,1
-1.868,7.523,6.057,-0.09184,0.005185,-0.1835,1
-0.08383,0.03832,9.856,0.03645,-0.003367,-0.1163,1
-0.09341,0.03593,9.899,0.08165,-0.01314,-0.03815,1
-0.1006,0.02635,9.836,-0.1725,-0.0278,-0.01127,1
-0.1102,-0.02156,9.877,-0.4241,-0.05224,-0.05281,1
-0.07185,0.01437,9.872,-0.7051,-0.1304,-0.2752,1
-0.1078,-0.00958,9.887,-0.9373,-0.4078,-0.6441,1
-0.06227,-0.007185,9.829,-0.3472,-0.7743,-1.079,1
-0.04072,-0.02156,9.805,-0.3899,-1.171,-1.602,1
-0.05748,0.04311,9.882,-0.2812,-1.506,-2.199,1
-0.05269,0.01916,9.918,-2.793,-0.4823,-4.786,1
-0.04551,-0.002395,9.889,-1.189,-0.3381,-4.083,1
-0.08383,0.05269,9.846,0.7206,-0.4554,-2.401,1
-0.05988,-0.00479,9.877,1.303,-0.1976,0.2648,1
-0.06946,0,9.891,0.3284,0.8018,3.358,1
-0.08622,-0.05269,9.889,-0.6954,1.575,6.028,1
-0.06946,0.007185,9.865,-1.79,1.52,7.463,1
-2.448,-1.854,13.65,-3.684,0.2593,6.742,1
-0.01437,0.002395,9.856,-5.062,-0.8427,5.07,1
-0.08143,0.04551,9.911,-3.008,-1.842,4.085,1
-0.0479,0.02395,9.808,-1.398,-1.984,3.096,1
-0.05748,-0.007185,9.865,-1.554,-1.308,1.747,1
-7.355,0.6443,6.435,0.965,-0.2844,0.2001,1
-0.01437,0.00479,9.848,1.118,0.6014,-1.629,1
-4.958,1.339,8.332,0.9747,1.184,-3.347,1
-0.03593,-0.01677,9.877,1.788,1.709,-4.842,1
