acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
-12.32,-0.4287,-0.4622,0.4323,0.1396,0.0547,0
-13.91,-1.154,1.777,0.1928,-0.0388,-0.01005,0
-10.25,-2.249,4.46,0.2075,-0.01925,0.06814,0
-12.66,-1.906,1.631,-0.2482,0.005185,0.09135,0
-12.36,-1.861,1.899,-0.0503,0.05039,0.1586,0
-8.316,-3.205,4.179,-0.02586,0.06261,0.1928,0
-9.087,-0.3569,1.344,-0.2323,0.0736,0.2147,0
-9.283,-3.684,2.754,-0.2641,0.1151,0.2709,0
-9.853,-2.225,3.93,-0.302,0.1713,0.3736,0
-1.154,1.583,9.441,-0.4498,0.2459,0.5019,0
-13.38,-0.7712,-0.06706,-0.4241,0.2862,0.5972,0
-10.91,-0.6179,0.4694,-0.3215,0.3497,0.6912,0
-13.14,-1.183,-0.1677,-0.5683,0.3986,0.767,0
-14.33,-2.486,1.684,-0.4474,0.4267,0.8427,0
-6.498,0.2299,-1.142,-0.4205,0.4621,0.9172,0
-8.181,0.1078,-2.237,-0.4107,0.4462,0.9686,0
-13.66,-2.215,2.632,-0.3435,0.4682,0.9918,0
-0.5868,1.791,9.02,-0.3948,0.4853,0.9771,0
-7.614,1.564,-2,-0.214,0.445,0.9356,0
-12.41,-2.062,0.8335,-0.1688,0.4768,0.9197,0
-9.951,-0.09341,-0.1916,-0.4681,0.4426,0.8794,0
-14.04,-1.008,1.894,-0.4632,0.3925,0.8672,0
-11.28,-1.796,0.7425,-0.506,0.3754,0.8696,0
-0.5604,2.414,9.441,-0.4559,0.2996,0.8268,0
-11.4,-1.487,2.361,-0.1737,0.2789,0.8036,0
-9.266,-0.04072,-0.2251,-0.3887,0.2129,0.7059,0
-9.803,-2.726,2.79,-0.5256,0.1677,0.5556,0
-9.681,-2.524,4.618,-0.4229,0.1457,0.4298,0
-12.97,-1.993,3.181,-0.3044,0.1188,0.3467,0
-11.01,-0.7951,0.6874,-0.3582,0.09315,0.249,0
-11.81,-2.898,3.116,-0.2836,0.08948,0.1414,0
-1.904,1.198,10.37,-0.0955,0.1103,0.06203,0
-13.64,2.982,0.06706,-0.06862,0.1347,0.04615,0
-9.951,-3.468,4.33,0.005902,0.09437,0.04615,0
-7.343,0.1916,-1.705,0.1134,0.05528,0.08036,0
-2.733,-3.679,6.488,0.004681,0.006406,0.1085,0
-14.32,-0.7975,1.839,0.05477,-0.004589,0.1524,0
-1.609,1.03,9.697,0.01079,0.03695,0.2074,0
-9.559,-2.328,3.54,-0.1688,0.1322,0.2734,0
-9.827,-2.086,2.642,-0.1053,0.186,0.321,0
-12.99,-3.502,3.83,0.05599,0.2459,0.3699,0
-10.85,-3.255,2.924,-0.6538,0.2202,0.6081,0
-10.23,-2.905,3.901,-1.388,0.2092,0.7486,0
-8.907,-3.681,4.119,-1.21,0.4707,0.8953,0
-11.92,-0.6946,-1.174,-1.722,0.8103,1.13,0
-7.52,0.8191,-1.509,-3.485,1.202,1.397,0
-14.18,-1.111,0.6347,-5.582,1.448,1.809,0
-7.736,-0.5365,-0.3018,-6.875,1.548,2.347,0
-9.424,-0.2922,-1.236,-6.45,1.512,3.052,0
-14.3,-1.976,2.079,0.2796,1.439,3.64,0
-12.81,-3.195,3.674,1.768,1.246,2.999,0
-8.725,-1.073,1.255,2.14,0.9899,1.925,0
-1.576,0.958,9.681,1.098,0.5146,0.9038,0
-11.87,-2.361,2.757,-0.3997,-0.1304,0.05837,0
-8.665,0.06946,-2.117,-0.6379,-0.6607,-0.6099,0
-6.39,1.878,-1.717,-0.02342,-1.08,-1.287,0
-9.635,-1.157,4.258,0.3431,-1.407,-1.888,0
-6.936,1.37,-2.807,0.497,-1.662,-2.359,0
-12.57,-0.9412,2.975,0.5899,-1.89,-2.648,0
-11.92,-1.894,1.229,0.4494,-2.019,-2.929,0
-11.49,-2.735,3.109,-0.08939,-2.019,-3.273,0
-9.496,-1.813,3.339,-0.6502,-1.741,-3.233,0
-12.26,-3.638,1.624,-0.5536,-1.251,-2.676,0
-0.4718,2.457,9.283,-0.4742,-0.7034,-1.553,0
-16.49,-0.4072,0.05988,-0.5146,-0.1219,-0.2752,0
-8.265,-2.625,2.91,0.2955,0.5012,0.9759,0
-14.21,-2.431,4.249,0.7072,1.085,2.066,0
-7.429,-3.3,4.927,0.574,1.543,2.768,0
-11.76,-0.6323,1.437,0.5031,1.948,3.215,0
-16.62,-2.764,3.406,0.6522,2.212,3.449,0
-11.4,-2.999,0.309,0.6901,2.279,3.375,0
-8.076,-2.752,4.036,1.006,2.138,2.863,0
-10.3,-2.666,3.782,0.8672,1.899,1.929,0
-10.9,-2.613,2.4,0.002237,1.353,0.9539,0
-12.75,-2.053,1.557,-0.8346,0.6845,0.2771,0
-9.714,-2.613,2.014,-0.4645,0.06383,-0.2862,0
-10.54,-1.188,0.1892,0.1427,-0.5629,-0.8286,0
-9.65,-1.466,-1.37,0.2722,-1.201,-1.387,0
-2.603,0.1102,6.752,-0.0503,-1.659,-1.914,0
-9.839,-0.6826,0.2227,-0.3276,-1.974,-2.368,0
-9.151,-3.521,4.21,-0.5207,-2.148,-2.702,0
-1.36,0.9245,9.76,-0.8689,-2.116,-2.957,0
-10.17,-1.729,2.57,-0.9202,-1.881,-3.257,0
-4.692,-12.08,6.438,-0.6367,-1.606,-3.437,0
-11.65,-0.6682,-0.08383,-0.3912,-1.285,-3.072,0
-7.506,-0.1629,-0.6898,1.009,-0.927,-2.224,0
-13.02,-1.384,2.323,2.162,-0.4933,-1.154,0
-12.23,-2.33,1.55,0.976,0.2068,0.01316,0
-10.01,-0.8526,0.03114,-0.3496,0.9594,1.208,0
-16.47,-1.054,0.5844,-0.9287,1.545,2.278,0
-10.27,-0.7928,0.3401,0.02545,1.962,3.048,0
-8.962,-0.9269,3.257,1.762,2.362,3.474,0
-11.18,0.1006,-0.6371,3.814,2.932,3.572,0
-9.975,-1.43,0.1629,4.073,3.259,3.092,0
-13.57,-1.722,2.12,3.164,3.196,2.37,0
-8.51,1.087,-0.7329,1.237,2.666,1.504,0
-8.531,-6.534,2.539,-0.4022,1.907,0.7377,0
-6.572,-1.744,3.169,-0.7833,1.122,0.1805,0
-10.08,-1.152,0.002395,-0.1053,0.3167,-0.1591,0
-0.5341,2.251,9.592,0.3651,-0.4737,-0.3766,0
-9.908,-3.044,2.563,0.04255,-1.22,-0.5867,0
-9.41,0.2802,-0.0503,-0.7601,-1.89,-0.9068,0
-10.26,-2.012,5.341,-1.406,-2.388,-1.363,0
-9.343,-2.912,3.063,-1.565,-2.659,-1.845,0
-6.776,-1.938,2.038,-1.367,-2.751,-2.215,0
-9.913,-0.1293,-0.503,-0.82,-2.719,-2.438,0
-10.31,-2.632,4.448,-1.187,-2.6,-2.639,0
-7.561,-2.773,0.843,-1.542,-2.253,-2.581,0
-12.96,-2.4,1.736,-1.133,-1.642,-2.004,0
-10.34,-2.759,1.174,-0.4156,-1.042,-1.155,0
-11.84,-2.498,3.264,-0.00265,-0.3919,-0.1053,0
-9.757,1.923,-2.599,0.3541,0.3021,0.8757,0
-10.54,-1.837,0.7664,0.5312,0.9459,1.694,0
-11.86,-1.811,2.613,0.4164,1.529,2.337,0
-11.69,-1.83,0.4359,-0.08939,1.983,2.694,0
-15.16,-0.273,0.6898,0.09998,2.231,2.917,0
-10.17,-1.303,1.454,0.4103,2.318,2.976,0
-0.7472,1.226,6.275,0.3602,2.125,2.795,0
-12.33,-1.181,0.5556,0.337,1.823,2.336,0
-12.17,-3.023,-0.4886,-0.9849,1.35,1.665,0
-12.71,-1.267,0.9891,-1.642,0.7932,1.014,0
-9.594,-0.6203,0.1269,-1.535,0.252,0.4066,0
-8.064,-3.578,4.397,-1.573,-0.2648,-0.1933,0
-9.453,-0.879,0.6227,-1.193,-0.6814,-0.7724,0
-9.616,2.512,-1.087,-0.9507,-0.9783,-1.367,0
-13.51,-2.56,3.408,-1.028,-1.11,-1.942,0
-10.09,-0.2658,-0.2635,-0.6331,-1.096,-2.452,0
-12.58,-1.847,0.1796,-0.02708,-1.011,-2.819,0
-8.845,1.595,-0.5437,0.6314,-0.905,-3.062,0
-11.9,-1.394,0.503,1.016,-0.8598,-3.185,0
-12.71,-1.188,0.8335,0.9967,-0.8219,-3.138,0
-10.9,-3.437,3.669,0.5606,-0.7193,-2.725,0
-11.4,-1.365,0.5389,0.2625,-0.4175,-1.848,0
-13.44,-2.239,3.899,-0.1676,-0.1097,-0.4731,0
-16.46,-1.356,2.594,-0.1957,0.263,0.8122,0
-14.77,-2.771,4.182,-0.1615,0.6942,1.945,0
-10.5,-1.674,-1.442,-0.1041,1.209,2.813,0
-9.968,-2.223,3.329,0.205,1.772,3.359,0
-0.6251,2.033,9.47,0.5435,2.243,3.512,0
-9.307,-2.177,3.854,1.198,2.267,3.375,0
-9.575,-3.2,2.448,2.057,2.047,2.884,0
-11.46,-2.9,4.392,1.937,1.756,1.997,0
-11.95,-3.346,0.7544,0.9808,1.256,1.049,0
-13.87,-2.749,0.5221,-0.3227,0.5733,0.3015,0
-10.14,-1.782,-0.9221,-0.4913,-0.1023,-0.23,0
-10.17,-0.6754,-0.7257,-0.2946,-0.7303,-0.7162,0
-17.03,-2.017,0.9005,-0.1664,-1.281,-1.244,0
-9.867,-2.227,3.978,0.1892,-1.735,-1.727,0
-6.119,1.274,-2.053,0.7976,-2.104,-2.129,0
-12.23,-0.3473,-0.2179,1.62,-2.459,-2.395,0
-9.982,-4.012,0.467,2.377,-3.009,-2.607,0
-12.54,-1.696,2.127,2.663,-3.176,-2.727,0
-8.933,-2.002,2.235,3.455,-3.38,-2.672,0
-7.623,-4.658,-0.7113,3.482,-3.373,-2.247,0
-10.68,-1.988,2.144,3,-3.014,-1.696,0
-9.058,-2.891,4.222,2.04,-2.381,-1.172,0
-11.11,-1.959,0.01198,0.8526,-1.363,-0.6515,0
-10.35,-3.734,2.328,0.1171,-0.2013,-0.09679,0
-11.49,-2.153,2.888,-0.6502,0.9374,0.4591,0
-10.73,-1.875,-0.2874,-0.831,2.022,1.015,0
-6.701,-0.1581,-1.684,-0.9397,2.996,1.411,0
-11.16,-2.886,2.297,-0.8872,3.786,1.768,0
