gyro_x,gyro_y,gyro_z,activity
-0.351,0.09399,0.199,3
-0.1152,-0.1259,-0.00384,3
0.1402,-0.1491,-0.1871,3
0.03997,0.1697,0.03403,3
-0.1237,0.2504,0.09756,3
-0.3791,-0.03795,0.09268,3
-0.2227,-0.1992,-0.1504,3
0.1304,0.05612,-0.1395,3
0.02898,0.3322,0.09146,3
-0.2325,0.2443,0.2344,3
-0.4426,-0.06361,-0.0185,3
-0.1445,-0.01841,-0.181,3
0.0583,0.3835,0.07557,3
-0.05776,0.6645,0.2625,3
-0.6686,0.3554,0.2466,3
-0.8152,-0.1051,0.1415,3
-0.4878,0.386,0.3883,3
-0.6112,1.178,0.8343,3
-0.9496,1.537,1.261,3
-0.9154,1.625,1.302,3
-1.078,1.828,1.11,3
-1.722,2.447,1.248,3
-2.402,3.005,1.704,3
-2.788,2.633,1.935,3
-2.676,2.283,1.685,3
-2.834,2.304,1.471,3
-3.017,2.459,1.67,3
-3.042,1.527,1.919,3
-2.865,0.7818,1.611,3
-1.8,-0.121,0.6254,3
-1.757,0.00725,0.1489,3
-1.635,0.612,-0.1297,3
-1.59,0.8173,0.1,3
-1.532,-0.07705,0.3272,3
-1.038,-0.3251,0.0377,3
-0.05043,0.3897,-0.2396,3
-0.026,0.6181,-0.09425,3
-0.2459,0.2333,0.2381,3
-0.06876,-0.2163,0.1501,3
0.5849,0.1978,-0.1065,3
0.2464,0.3005,-0.1468,3
-0.2703,0.3163,0.1758,3
-0.1824,-0.2982,0.1868,3
0.503,-0.1931,-0.1541,3
0.6117,0.04146,-0.4021,3
-0.06143,0.2162,-0.1749,3
-0.07975,0.009693,0.1098,3
0.3931,-0.2701,-0.1187,3
0.9636,-0.04528,-0.5047,3
0.5458,0.0439,-0.6013,3
0.4456,0.2858,-0.3581,3
0.8573,-0.2542,-0.2763,3
1.389,-0.3287,-0.5231,3
1.906,-0.1223,-0.677,3
1.871,-0.007411,-0.473,3
2.107,-0.2395,-0.06981,3
1.768,-0.5572,-0.03805,3
1.604,-0.3984,-0.3814,3
1.617,-0.1516,-0.4705,3
1.226,0.09155,-0.1602,3
1.55,-0.4326,0.1648,3
1.267,-0.5413,-0.07226,3
1.653,-0.5218,-0.4339,3
1.748,0.02191,-0.3923,3
1.271,0.1148,0.01082,3
0.1023,-0.3153,0.2405,3
-0.9032,-0.3935,-0.05882,3
-0.9618,-0.07094,-0.2592,3
0.1011,0.5583,-0.0356,3
-0.1628,0.02313,0.3248,3
-0.5342,-0.3825,0.3285,3
-0.114,-0.3434,-0.1602,3
0.7926,0.2553,-0.3276,3
0.8451,0.4837,0.001047,3
0.04731,-0.2566,0.3272,3
-0.2422,-0.4216,0.05358,3
0.4212,-0.1626,-0.2482,3
0.988,0.623,-0.1285,3
-0.05532,0.004806,0.2405,3
-0.7334,-0.3984,0.3028,3
-0.3217,-0.391,-0.1517,3
0.5665,0.2162,-0.3154,3
0.525,0.6328,0.05114,3
-0.5733,-0.1882,0.381,3
-0.7468,-0.413,0.1086,3
0.06074,-0.1821,-0.2836,3
0.7034,0.601,-0.2445,3
0.1658,0.1172,0.2039,3
-0.467,-0.3153,0.3932,3
-0.1201,-0.4142,-0.104,3
0.8598,0.1258,-0.3594,3
0.988,0.5961,-0.0576,3
-0.006451,-0.1369,0.3065,3
-0.6356,-0.4533,0.1257,3
0.005766,-0.3348,-0.2787,3
0.9086,0.4556,-0.2946,3
0.4859,0.1526,0.1183,3
-0.3766,-0.2872,0.337,3
-0.5232,-0.4998,-0.08203,3
0.4578,-0.01352,-0.319,3
0.9917,0.645,-0.04782,3
0.06074,-0.0294,0.337,3
-0.8006,-0.3556,0.2442,3
-0.4622,-0.297,-0.1297,3
0.7693,0.4984,-0.1932,3
0.6875,0.3909,0.1306,3
-0.4023,-0.2273,0.3016,3
-0.7285,-0.5303,-0.1175,3
0.2464,-0.1039,-0.3374,3
0.9098,0.6572,-0.06493,3
-0.02722,0.06711,0.348,3
-0.9374,-0.3458,0.2894,3
-0.6137,-0.3458,-0.1285,3
0.6423,0.4544,-0.2225,3
0.696,0.4874,0.1428,3
-0.4732,-0.1552,0.3834,3
-0.8739,-0.4985,-0.03805,3
-0.1042,-0.1626,-0.3313,3
0.6838,0.7183,-0.1358,3
-0.103,0.03657,0.2772,3
-0.781,-0.38,0.2735,3
-0.3962,-0.4411,-0.1602,3
0.6716,0.32,-0.2751,3
0.7131,0.5937,0.08168,3
-0.3192,-0.1015,0.4079,3
-0.7297,-0.4766,0.07802,3
0.0754,-0.2212,-0.2897,3
0.9917,0.6535,-0.2091,3
0.1939,0.116,0.1916,3
-0.7016,-0.3422,0.2759,3
-0.4365,-0.4949,-0.1639,3
0.6215,0.1893,-0.3203,3
