@relation 0_Gyroscope_Merge

@attribute gyro_x numeric
@attribute gyro_y numeric
@attribute gyro_z numeric
@attribute activity numeric

@data
0.06685,0.1477,0.03281,1
0.1047,0.008472,-0.02583,1
0.1402,-0.009854,0.0548,1
0.01921,-0.06972,0.1171,1
-0.0822,-0.07338,0.1025,1
-0.08953,-0.02452,0.1244,1
-0.1873,-0.07705,0.08657,1
0.004545,0.072,0.02793,1
0.09617,0.05368,0.001047,1
0.0412,0.03901,-0.00384,1
-0.05899,0.009693,-0.009948,1
-0.0541,0.02069,-0.01606,1
-0.03944,0.02558,-0.008727,1
-0.01989,0.03657,-0.00384,1
-0.02356,0.04635,-0.002618,1
-0.04799,0.0268,0.001047,1
-0.02844,0.03535,-0.001396,1
-0.0541,0.0268,0.002269,1
-0.05532,0.02069,-0.007505,1
-0.02478,0.01702,-0.01484,1
-0.03089,0.006028,-0.01728,1
-0.02722,0.004806,-0.00384,1
-0.01012,0.001141,0.01326,1
-0.008894,-0.007411,0.0267,1
-0.01745,-0.001302,0.03403,1
-0.02233,-0.006189,0.02304,1
0.002101,0.008472,0.01571,1
-0.03455,0.004806,0.01815,1
-0.04799,0.0158,0.02182,1
-0.06998,0.009693,0.03037,1
-0.09686,0.02069,0.04136,1
-0.1164,0.04635,0.05236,1
-0.1066,0.07444,0.06702,1
-0.1408,0.08055,0.08412,1
-0.2031,0.07444,0.1098,1
-0.2068,0.09766,0.1672,1
-0.2203,0.1001,0.1733,1
-0.2203,0.1209,0.2026,1
-0.2374,0.1062,0.2368,1
-0.1897,0.105,0.2539,1
-0.1848,0.1294,0.2882,1
-0.1641,0.2553,0.4079,1
0.03875,0.309,0.4751,1
-0.1653,0.1734,0.3981,1
-0.5758,0.09766,0.2894,1
-0.8103,0.1123,0.2882,1
-0.4646,0.3054,0.5191,1
0.365,0.4556,0.6547,1
0.1573,0.2223,0.5545,1
-0.6527,0.06345,0.3492,1
-1.268,0.1245,0.3211,1
-0.588,0.3799,0.596,1
0.3943,0.3897,0.7158,1
0.1377,0.1539,0.513,1
-0.7187,0.1233,0.3285,1
-1.234,0.265,0.4335,1
-0.2997,0.4361,0.673,1
0.5971,0.2931,0.6095,1
0.3735,0.1184,0.2735,1
-0.533,0.1294,0.1086,1
-0.7981,0.2443,0.2735,1
0.1182,0.32,0.3688,1
0.6753,0.1746,0.2063,1
0.1841,0.06956,-0.05149,1
-0.869,0.06711,-0.02217,1
-0.6637,0.149,0.2283,1
0.5018,0.2039,0.2063,1
0.7486,0.1539,-0.05393,1
-0.1115,0.0439,-0.2311,1
-0.9203,0.03046,-0.0918,1
-0.1274,0.138,0.1012,1
0.8549,0.05734,-0.01484,1
0.4651,-0.1638,-0.2592,1
-0.5147,-0.2408,-0.3239,1
-0.5,-0.1833,-0.1407,1
0.6679,0.03535,-0.03072,1
1.138,-0.0404,-0.1602,1
0.8036,-0.06483,-0.3105,1
0.1719,0.1025,-0.1859,1
0.1304,0.6169,0.2674,1
-0.06143,0.8136,0.4714,1
-0.3351,0.7378,0.4372,1
-0.1543,0.9565,0.4482,1
-0.3974,1.632,0.7781,1
-0.8665,2.486,1.273,1
-1.664,2.695,1.58,1
-1.74,2.776,1.731,1
-1.798,2.861,1.77,1
-2.027,2.531,1.693,1
-2.108,1.993,1.44,1
-1.885,1.157,0.8929,1
-1.562,0.182,0.2002,1
-0.8714,-0.05872,-0.3545,1
-0.6662,-0.1381,-0.6074,1
-1.216,-0.2737,-0.5487,1
-1.332,-0.3471,-0.319,1
-1.129,-0.08438,-0.05637,1
-1.217,-0.1907,0.08412,1
-1.242,-0.2933,-0.02827,1
-0.9741,-0.1662,-0.2384,1
-0.3155,-0.2029,-0.3142,1
0.2208,-0.1662,-0.2115,1
0.2807,-0.01718,-0.009948,1
0.07907,-0.01474,0.1489,1
-0.2276,-0.1833,0.1721,1
-0.2997,-0.1394,0.06702,1
-0.09686,-0.01841,-0.01728,1
0.1988,-0.01352,0.06336,1
0.3173,-0.002524,0.2185,1
0.2941,0.08544,0.3175,1
-0.02111,-0.1308,0.3077,1
0.2391,0.08911,0.2796,1
-0.3033,0.2186,0.3199,1
-0.6124,0.138,0.3089,1
-0.6662,-0.3984,-0.4143,1
0.02043,0.08666,-0.2824,1
0.1292,0.0439,-0.05393,1
0.1328,-0.06117,0.1477,1
0.2074,0.1502,0.2417,1
-0.05288,-0.01474,0.2148,1
-0.2581,-0.06605,0.1306,1
-0.01989,-0.03673,-0.002618,1
0.751,0.1844,-0.03316,1
0.7217,0.09644,0.05114,1
0.5788,0.01214,0.1513,1
0.8781,-0.1149,0.06946,1
1.022,-0.2078,-0.1419,1
1.177,-0.1736,-0.3093,1
1.215,-0.03062,-0.3044,1
1.462,0.008472,-0.2409,1
1.116,-0.02085,-0.236,1
0.8903,0.01702,-0.1969,1
0.2831,-0.2945,-0.2665,1
0.635,-0.2689,-0.4412,1
1.388,-0.0856,-0.5744,1
1.618,0.1135,-0.5487,1
1.144,0.127,-0.3325,1
0.9832,0.2626,-0.1248,1
0.7913,0.3383,-0.08814,1
0.3259,0.1294,-0.1834,1
0.134,0.03168,-0.2616,1
0.2636,0.1636,-0.1468,1
-0.03211,0.1905,0.05847,1
-0.219,0.2076,0.2344,1
-0.3913,0.2601,0.2943,1
-0.5,0.0268,0.2381,1
-0.3449,-0.1051,0.07435,1
-0.175,-0.1051,-0.03438,1
-0.03944,-0.02085,0.0548,1
-0.09686,0.01214,0.2136,1
-0.2447,0.05734,0.2698,1
-0.09686,0.01825,0.2063,1
-0.09197,-0.1589,0.008378,1
0.1072,-0.1797,-0.1908,1
0.3185,-0.01963,-0.2164,1
0.288,0.05856,-0.07226,1
0.1829,0.1563,0.02793,1
0.01432,0.2284,0.01204,1
-0.1372,0.0268,-0.006283,1
-0.06509,-0.08194,-0.1089,1
0.005766,-0.05995,-0.1822,1
0.1951,0.04635,-0.09669,1
0.1475,0.06223,0.02915,1
0.1279,0.1526,0.08657,1
0.1255,0.1465,0.1073,1
-0.05776,-0.07094,0.05114,1
-0.03577,-0.1589,-0.09058,1
0.1169,-0.06239,-0.1162,1
0.08151,0.008472,0.004712,1
0.1255,0.1062,0.08046,1
0.2074,0.2345,0.08046,1
-0.03822,0.0158,0.04381,1
-0.06632,-0.1479,-0.1052,1
0.1463,-0.09538,-0.2054,1
0.2636,0.0268,-0.1028,1
0.1683,0.03901,0.02915,1
0.2391,0.1697,0.05969,1
0.1756,0.1221,0.06946,1
-0.08586,-0.1357,-0.005061,1
-0.09564,-0.1931,-0.1346,1
0.07418,-0.04773,-0.1126,1
0.1133,0.0439,0.02793,1
-0.04066,0.1135,0.1086,1
-0.1567,0.1856,0.1183,1
-0.5245,0.0549,0.06336,1
-1.782,0.08788,-0.06615,1
-3.877,0.2589,-0.1065,1
-5.24,0.2858,0.09634,1
-5.046,0.1722,0.3419,1
-3.59,0.1881,0.3871,1
-1.939,0.02435,0.3004,1
-1.023,-0.2566,0.1232,1
-0.61,-0.1125,-0.1504,1
-0.4267,0.03535,-0.2922,1
-0.2422,0.004806,-0.192,1
0.05952,0.01336,-0.01728,1
0.2684,0.06345,0.07191,1
0.1512,-0.1833,0.01937,1
-0.09075,-0.2029,-0.1639,1
-0.2117,-0.03307,-0.2445,1
-0.1066,-0.009854,-0.1089,1
0.167,-0.03673,0.06336,1
0.3906,0.07567,0.1367,1
0.3515,-0.004967,0.1367,1
0.0864,-0.176,0.02059,1
-0.03944,-0.02696,-0.1297,1
-0.07731,0.06345,-0.09913,1
0.09984,0.04757,0.05969,1
0.299,0.08544,0.1452,1
0.4212,0.1673,0.1538,1
0.1841,-0.1113,0.05358,1
-0.08464,-0.1223,-0.1431,1
-0.2459,0.003585,-0.2262,1
-0.219,-0.01841,-0.09303,1
0.005766,-0.04773,0.05114,1
0.2147,0.072,0.07191,1
0.1854,-0.03551,0.05236,1
-0.07609,-0.2224,-0.08814,1
-0.2117,-0.08438,-0.2421,1
-0.2948,-0.01352,-0.1798,1
-0.125,-0.04162,0.03281,1
0.1389,0.0439,0.1415,1
0.3185,0.1477,0.1745,1
0.1279,-0.1161,0.111,1
-0.06998,-0.1161,-0.07959,1
-0.1531,0.02924,-0.2018,1
-0.08953,0.03046,-0.0918,1
0.08151,-0.004967,0.09268,1
0.2489,0.1148,0.1745,1
0.2183,-0.03551,0.1464,1
-0.05654,-0.2078,-0.04416,1
-0.1469,-0.02329,-0.2311,1
-0.1518,0.03291,-0.1737,1
0.01798,-0.03062,0.04625,1
0.2306,0.05245,0.1391,1
0.3454,0.1245,0.1306,1
0.07296,-0.1589,0.01449,1
-0.1628,-0.1223,-0.17,1
-0.2569,0.02924,-0.1969,1
-0.09075,0.0158,-0.00384,1
0.1695,0.009693,0.1513,1
0.3527,0.1563,0.1758,1
0.2,-0.05017,0.1293,1
-0.1384,-0.198,-0.06981,1
-0.2948,-0.02818,-0.236,1
-0.2716,0.01336,-0.1297,1
0.01676,-0.03062,0.1037,1
0.2843,0.07933,0.1525,1
0.3246,0.1135,0.1183,1
-0.01378,-0.1797,-0.00384,1
-0.2435,-0.1161,-0.1871,1
-0.3473,0.01458,-0.1981,1
-0.1604,0.008472,0.01449,1
0.1731,0.04757,0.1574,1
0.4016,0.1978,0.155,1
0.2135,-0.02207,0.09268,1
-0.1543,-0.1516,-0.09425,1
-0.263,0.02069,-0.2225,1
-0.197,0.04268,-0.1052,1
0.0583,0.001141,0.1098,1
0.2684,0.1062,0.1611,1
0.3259,0.1135,0.1293,1
-0.006451,-0.1907,-0.02094,1
-0.1922,-0.1003,-0.2164,1
-0.2948,-0.002524,-0.2128,1
-0.1103,-0.02329,0.009599,1
0.1866,0.03168,0.1342,1
0.3735,0.1746,0.1257,1
0.145,-0.08316,0.06336,1
-0.2374,-0.1797,-0.1175,1
-0.3717,0.01092,-0.203,1
-0.2691,0.0268,-0.04782,1
0.02776,0.02069,0.1525,1
0.2758,0.1575,0.1892,1
0.2623,0.1184,0.1648,1
-0.09075,-0.1418,0.01815,1
-0.2349,-0.004967,-0.1602,1
-0.2765,0.06101,-0.1309,1
-0.09686,0.0268,0.09023,1
0.1084,0.1074,0.1953,1
0.2917,0.2345,0.1977,1
0.1927,-0.04162,0.1501,1
-0.01256,-0.09049,-0.02583,1
-0.1909,-0.03795,-0.1651,1
-0.2642,-0.1027,-0.1089,1
-0.1689,-0.1198,0.01571,1
0.02898,0.01947,0.05725,1
0.1279,-0.04284,0.07557,1
-0.0822,-0.253,-0.04782,1
-0.2508,-0.1332,-0.2225,1
-0.384,-0.1039,-0.1798,1
-0.5709,-0.08682,0.02915,1
-1.003,-0.01474,0.1525,1
-2.127,0.072,0.1721,1
-3.661,-0.176,0.1281,1
-4.034,-0.07216,-0.001396,1
-3.784,0.01947,-0.08692,1
-2.875,-0.04284,-0.05149,1
-2.149,-0.0966,0.04747,1
-1.378,-0.04895,0.1073,1
-0.9093,-0.1223,0.133,1
-0.6943,-0.09049,0.05847,1
-0.6271,0.1062,-0.07348,1
-0.5318,0.1221,-0.09669,1
-0.7273,0.01214,-0.02583,1
-0.8165,-0.001302,0.02182,1
-0.6014,0.02802,0.004712,1
-0.726,-0.02574,-0.0185,1
-0.5465,0.1355,-0.05149,1
-0.001564,0.193,-0.02827,1
0.7779,0.08544,0.07802,1
1.287,0.0268,0.1134,1
1.832,0.07689,0.1587,1
2.161,0.002363,0.1904,1
2.851,0.00725,0.188,1
3.942,0.1502,0.1269,1
4.433,0.1905,0.1403,1
3.908,0.09644,0.2344,1
2.844,0.1062,0.2246,1
1.684,0.1074,0.1257,1
0.6179,-0.1345,-0.007505,1
-0.002786,-0.06117,-0.159,1
-0.1616,0.05856,-0.1651,1
0.04364,0.03779,-0.007505,1
0.0583,0.0158,0.08168,1
0.1719,0.09155,0.1098,1
0.04731,-0.1284,0.06458,1
-0.1604,-0.1601,-0.07837,1
-0.263,0.02558,-0.1529,1
-0.2801,0.05856,-0.05393,1
-0.000342,-0.004967,0.0829,1
0.1915,0.0439,0.07069,1
0.1988,0.06467,0.03281,1
-0.04799,-0.1687,-0.0637,1
-0.1677,-0.02696,-0.203,1
-0.1714,0.07689,-0.1676,1
0.01676,0.05734,0.02426,1
0.1316,0.02802,0.1232,1
0.0974,0.1416,0.1073,1
-0.1237,-0.1015,0.05969,1
-0.2361,-0.06605,-0.04416,1
-0.1469,0.09033,-0.06248,1
-0.01378,0.1111,0.07924,1
-0.001564,0.04879,0.1892,1
-0.06143,0.06467,0.188,1
-0.1702,0.03168,0.1196,1
-0.3217,-0.1699,-0.02461,1
-0.2361,0.01214,-0.1785,1
-0.1396,0.08666,-0.1456,1
-0.06265,0.02069,0.02426,1
0.003323,-0.001302,0.09756,1
0.0864,0.09399,0.05969,1
-0.06998,-0.1113,-0.008727,1
-0.1702,-0.1064,-0.1272,1
-0.04555,0.03779,-0.1468,1
0.05586,0.03413,-0.000175,1
0.05219,-0.02574,0.1293,1
0.04853,0.04757,0.1257,1
-0.05532,0.006028,0.08168,1
-0.2606,-0.1919,-0.02705,1
-0.1714,-0.004967,-0.1541,1
-0.02111,0.07078,-0.09791,1
0.03875,0.05001,0.0829,1
0.03387,0.03901,0.1733,1
0.1194,0.1429,0.1623,1
-0.008894,-0.08805,0.07557,1
-0.1335,-0.09049,-0.1077,1
-0.186,0.01336,-0.1969,1
-0.1616,-0.02452,-0.05393,1
-0.2349,-0.09293,0.0939,1
-0.3351,-0.01841,0.09756,1
-0.3449,-0.06117,0.05236,1
-0.4341,-0.2212,-0.03805,1
-0.4402,-0.09049,-0.1529,1
-0.5807,0.003585,-0.1138,1
-0.8568,-0.02207,0.06824,1
-1.408,-0.1394,0.1269,1
-1.999,-0.05384,0.0377,1
-2.561,-0.3104,0.003491,1
-2.342,-0.242,-0.0466,1
-1.876,-0.04773,-0.1468,1
-1.738,-0.03551,-0.04782,1
-1.806,-0.121,0.07191,1
-2.912,-0.1039,0.005934,1
-3.492,-0.2347,0.01082,1
-3.003,-0.2701,-0.01239,1
-2.005,-0.04773,-0.05027,1
-1.102,0.08055,-0.04538,1
-0.3021,0.03413,0.05847,1
0.1218,-0.03429,0.1379,1
0.7119,0.009693,0.1562,1
0.8585,-0.03307,0.1037,1
1.03,0.04757,0.1,1
1.961,0.232,0.02304,1
2.154,0.2052,0.05603,1
2.812,0.1013,0.1782,1
4.068,0.1441,0.2222,1
4.347,0.1368,0.2295,1
